run_id,experiment_name,operation_mode,completed,failed,retries,success_rate,correctness_sampled,correctness_passed,correctness_failed,correctness_pass_rate,run_dir
run-82f1ee376ea607a7,batch_1,mixed,1000,0,0,1.000000,12,12,0,1.000000,data/batch_1/run-82f1ee376ea607a7
run-dc65d0d761bcf2d7,batch_1,mixed,1000,0,0,1.000000,12,12,0,1.000000,data/batch_1/run-dc65d0d761bcf2d7
run-1ad894d5f9683bfe,batch_10,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/batch_10/run-1ad894d5f9683bfe
run-5ea09af84fd30a3a,batch_10,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/batch_10/run-5ea09af84fd30a3a
run-07d1805b4e640d32,batch_100,mixed,1000,0,0,1.000000,10,10,0,1.000000,data/batch_100/run-07d1805b4e640d32
run-99f970710c99557f,batch_100,mixed,1000,0,0,1.000000,10,10,0,1.000000,data/batch_100/run-99f970710c99557f
run-0d7a39f2b7beba02,batch_1000,mixed,1000,0,0,1.000000,10,10,0,1.000000,data/batch_1000/run-0d7a39f2b7beba02
run-652bb5c136a986b8,batch_1000,mixed,1000,0,0,1.000000,10,10,0,1.000000,data/batch_1000/run-652bb5c136a986b8
run-4b8f93f86e8e8327,concurrency_1000_users,mixed,100000,0,11,1.000000,1017,1017,0,1.000000,data/concurrency_1000_users/run-4b8f93f86e8e8327
run-5fea7932d311cfa5,concurrency_1000_users,mixed,100000,0,0,1.000000,1017,1017,0,1.000000,data/concurrency_1000_users/run-5fea7932d311cfa5
run-6518c236bc2a0359,concurrency_100_users,mixed,10000,0,0,1.000000,103,103,0,1.000000,data/concurrency_100_users/run-6518c236bc2a0359
run-94e76870bbdcbfa2,concurrency_100_users,mixed,10000,0,0,1.000000,103,103,0,1.000000,data/concurrency_100_users/run-94e76870bbdcbfa2
run-0a140064ff3fbf51,concurrency_10_users,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/concurrency_10_users/run-0a140064ff3fbf51
run-b50d1a3c29f13f0a,concurrency_10_users,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/concurrency_10_users/run-b50d1a3c29f13f0a
run-1ffbab94107dcc84,concurrency_1_users,mixed,100,0,0,1.000000,0,0,0,0.000000,data/concurrency_1_users/run-1ffbab94107dcc84
run-78d5b67dd345b673,concurrency_1_users,mixed,100,0,0,1.000000,0,0,0,0.000000,data/concurrency_1_users/run-78d5b67dd345b673
run-b42d0e1487c29d2e,concurrency_500_users,mixed,50000,0,0,1.000000,519,519,0,1.000000,data/concurrency_500_users/run-b42d0e1487c29d2e
run-d9a1b3c9bc491e68,concurrency_500_users,mixed,50000,0,0,1.000000,519,519,0,1.000000,data/concurrency_500_users/run-d9a1b3c9bc491e68
run-43ffe5edf0f2af8a,failure_drop_0pct,mixed,5000,0,0,1.000000,50,50,0,1.000000,data/failure_drop_0pct/run-43ffe5edf0f2af8a
run-bb1d5fa788633f54,failure_drop_0pct,mixed,5000,0,0,1.000000,50,50,0,1.000000,data/failure_drop_0pct/run-bb1d5fa788633f54
run-4fb13479b4848b85,failure_drop_1pct,mixed,5000,0,62,1.000000,50,50,0,1.000000,data/failure_drop_1pct/run-4fb13479b4848b85
run-8a759ca87d80bf37,failure_drop_1pct,mixed,5000,0,49,1.000000,50,50,0,1.000000,data/failure_drop_1pct/run-8a759ca87d80bf37
run-2bd5918ba53e7414,failure_drop_5pct,mixed,4988,12,263,0.997600,56,56,0,1.000000,data/failure_drop_5pct/run-2bd5918ba53e7414
run-ed17a5018a0863f8,failure_drop_5pct,mixed,4993,7,236,0.998600,51,51,0,1.000000,data/failure_drop_5pct/run-ed17a5018a0863f8
run-490e35bb70b8527b,latency_0ms,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/latency_0ms/run-490e35bb70b8527b
run-e987c20b6e9b36d9,latency_0ms,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/latency_0ms/run-e987c20b6e9b36d9
run-2da6766977663553,latency_100ms,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/latency_100ms/run-2da6766977663553
run-9e179f349e988059,latency_100ms,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/latency_100ms/run-9e179f349e988059
run-bd5bbfe9d6051585,latency_10ms,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/latency_10ms/run-bd5bbfe9d6051585
run-e388a4c63f3ed6ee,latency_10ms,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/latency_10ms/run-e388a4c63f3ed6ee
run-837b39377c6e9478,latency_50ms,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/latency_50ms/run-837b39377c6e9478
run-870bf2dacb0d1b0e,latency_50ms,mixed,1000,0,0,1.000000,8,8,0,1.000000,data/latency_50ms/run-870bf2dacb0d1b0e
run-0e3701a23ed40b43,throughput_burst,mixed,29073,0,0,1.000000,293,293,0,1.000000,data/throughput_burst/run-0e3701a23ed40b43
run-1f609fd9046b750e,throughput_burst,mixed,28761,0,0,1.000000,291,291,0,1.000000,data/throughput_burst/run-1f609fd9046b750e
