run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-82f1ee376ea607a7,batch_1,sum,batch_1-u0-r3,2026-02-16T11:53:41.952976622+06:00,0,1,8,576,0.8787,0.0015,0.5511,0.0052,0.0000,0.0163,0.0147,0.0003,0.0029,0.0002,0.0008,1.4407,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,sum,batch_1-u9-r1,2026-02-16T11:53:41.952976809+06:00,9,1,8,576,0.8807,0.0014,0.5611,0.0075,0.0000,0.0185,0.0158,0.0004,0.0039,0.0003,0.0016,1.4550,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,sum,batch_1-u7-r5,2026-02-16T11:53:41.9529771+06:00,7,1,8,576,0.8752,0.0021,0.5368,0.0079,0.0000,0.0110,0.0094,0.0003,0.0021,0.0001,0.0009,1.4312,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,count,batch_1-u2-r10,2026-02-16T11:53:41.953874289+06:00,2,1,8,579,0.8686,0.0020,1.3018,0.0045,0.0000,0.8792,0.0193,0.0005,0.0031,0.8571,0.0012,2.1814,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,sum,batch_1-u0-r13,2026-02-16T11:53:41.953951798+06:00,0,1,8,577,0.8683,0.0009,0.0970,0.0048,0.0000,0.0111,0.0091,0.0003,0.0023,0.0002,0.0011,0.9730,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,sum,batch_1-u9-r11,2026-02-16T11:53:41.95395733+06:00,9,1,8,577,0.8685,0.0015,0.0939,0.0090,0.0000,0.0122,0.0108,0.0003,0.0013,0.0001,0.0009,0.9789,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,sum,batch_1-u5-r9,2026-02-16T11:53:41.954819743+06:00,5,1,8,576,2.7640,0.0023,0.3929,0.0043,0.0000,0.0235,0.0211,0.0004,0.0037,0.0002,0.0014,3.1675,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,sum,batch_1-u1-r7,2026-02-16T11:53:41.954839285+06:00,1,1,8,576,2.7726,0.0026,0.4418,0.0087,0.0000,0.0153,0.0139,0.0003,0.0018,0.0001,0.0008,3.2332,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,sum,batch_1-u0-r15,2026-02-16T11:53:41.95501386+06:00,0,1,8,577,0.9401,0.0012,0.1127,0.0041,0.0000,0.0129,0.0115,0.0002,0.0020,0.0002,0.0007,1.0604,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,count,batch_1-u8-r6,2026-02-16T11:53:41.955704761+06:00,8,1,8,577,2.7695,0.0029,1.3670,0.0055,0.0000,0.8809,0.0115,0.0003,0.0017,0.8675,0.0008,4.1505,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,count,batch_1-u4-r8,2026-02-16T11:53:41.955732634+06:00,4,1,8,577,2.7688,0.0028,1.3117,0.0038,0.0000,0.8800,0.0180,0.0003,0.0021,0.8589,0.0011,4.0903,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,sum,batch_1-u5-r17,2026-02-16T11:53:41.955790188+06:00,5,1,8,577,0.8680,0.0008,0.0909,0.0053,0.0000,0.0166,0.0148,0.0003,0.0019,0.0002,0.0009,0.9694,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,sum,batch_1-u0-r19,2026-02-16T11:53:41.955981405+06:00,0,1,8,577,0.8818,0.0007,0.0731,0.0040,0.0000,0.0116,0.0104,0.0002,0.0012,0.0001,0.0006,0.9665,200,1,false,true,,,false,,,false,
run-82f1ee376ea607a7,batch_1,sum,batch_1-u4-r21,2026-02-16T11:53:41.956695624+06:00,4,1,8,577,0.8710,0.0006,0.0740,0.0087,0.0000,0.0127,0.0114,0.0003,0.0017,0.0002,0.0007,0.9622,200,1,false,true,,,false,,,false,
