run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-07d1805b4e640d32,batch_100,sum,batch_100-u9-r1,2026-02-16T11:53:58.685272945+06:00,9,100,800,51553,85.7785,0.0320,1.2714,0.0085,0.0000,0.6369,0.4708,0.0008,0.0030,0.1632,0.0016,87.0973,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u7-r5,2026-02-16T11:53:58.685292915+06:00,7,100,800,51547,85.9854,0.0329,1.0077,0.0099,0.0000,0.6362,0.4776,0.0012,0.0032,0.1546,0.0024,87.0461,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u4-r9,2026-02-16T11:53:58.697447645+06:00,4,100,800,51545,97.5605,0.0314,1.5450,0.0085,0.0000,1.1202,0.7441,0.0012,0.0057,0.3717,0.0022,99.1561,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u3-r2,2026-02-16T11:53:58.706376754+06:00,3,100,800,51552,104.0498,0.0790,4.0273,0.0092,0.0000,3.5367,0.7643,0.0013,0.0048,2.7680,0.0023,108.1760,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u2-r8,2026-02-16T11:53:58.728375556+06:00,2,100,800,51548,126.0831,0.0315,3.9592,0.0101,0.0000,3.5513,0.7632,0.0014,0.0068,2.7833,0.0025,130.0950,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u6-r3,2026-02-16T11:53:58.749228725+06:00,6,100,800,51556,149.1642,0.0841,1.7513,0.0097,0.0000,1.1198,0.7493,0.0014,0.0056,0.3656,0.0028,151.0206,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u1-r7,2026-02-16T11:53:58.752633727+06:00,1,100,800,51548,152.7696,0.0438,1.5242,0.0101,0.0000,1.1268,0.7465,0.0013,0.0045,0.3765,0.0024,154.3554,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u8-r6,2026-02-16T11:53:58.755375143+06:00,8,100,800,51550,153.1470,0.0330,3.9133,0.0086,0.0000,3.5255,0.7468,0.0018,0.0036,2.7737,0.0029,157.1092,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u9-r11,2026-02-16T11:53:58.772724036+06:00,9,100,800,51554,86.4891,0.0324,0.9108,0.0090,0.0000,0.6598,0.5003,0.0011,0.0037,0.1554,0.0023,87.4478,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u7-r12,2026-02-16T11:53:58.790800201+06:00,7,100,800,51551,101.5654,0.0773,3.6769,0.0093,0.0000,3.5165,0.7416,0.0013,0.0042,2.7703,0.0024,105.3388,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u0-r4,2026-02-16T11:53:58.795195908+06:00,0,100,800,51552,194.8825,0.0315,2.0618,0.0069,0.0000,1.6631,0.7367,0.0015,0.0029,0.9221,0.0026,196.9876,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u5-r10,2026-02-16T11:53:58.815792276+06:00,5,100,800,51551,213.4765,0.0313,3.9707,0.0107,0.0000,3.5613,0.7425,0.0012,0.0039,2.8140,0.0024,217.4982,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u4-r13,2026-02-16T11:53:58.835964603+06:00,4,100,800,51549,137.4579,0.0305,1.0082,0.0095,0.0000,0.8615,0.4863,0.0007,0.0042,0.3685,0.0048,138.5136,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u1-r17,2026-02-16T11:53:58.875692438+06:00,1,100,800,51546,122.2224,0.0296,0.7867,0.0098,0.0000,0.6544,0.4885,0.0008,0.0022,0.1634,0.0013,123.0560,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u8-r18,2026-02-16T11:53:58.877312334+06:00,8,100,800,51550,120.3846,0.0424,1.4934,0.0093,0.0000,1.3611,0.4833,0.0009,0.0024,0.8750,0.0015,121.9344,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u7-r20,2026-02-16T11:53:58.879800623+06:00,7,100,800,51550,87.3566,0.0437,1.5776,0.0093,0.0000,1.3656,0.4808,0.0009,0.0027,0.8813,0.0020,88.9968,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u0-r21,2026-02-16T11:53:58.882248964+06:00,0,100,800,51557,85.7778,0.0524,1.2063,0.0080,0.0000,1.1039,0.7345,0.0011,0.0037,0.3653,0.0023,87.0508,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u2-r15,2026-02-16T11:53:58.906242898+06:00,2,100,800,51550,176.9167,0.0328,0.8955,0.0079,0.0000,0.6407,0.4832,0.0009,0.0028,0.1540,0.0020,177.8623,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u9-r19,2026-02-16T11:53:58.913084388+06:00,9,100,800,51543,138.9926,0.0331,1.3131,0.0094,0.0000,1.1227,0.7534,0.0011,0.0043,0.3652,0.0023,140.3563,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u4-r23,2026-02-16T11:53:58.936588387+06:00,4,100,800,51546,99.2456,0.0314,1.3300,0.0067,0.0000,1.0988,0.7395,0.0014,0.0029,0.3532,0.0027,100.6203,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u3-r14,2026-02-16T11:53:58.945057641+06:00,3,100,800,51554,237.1602,0.0308,1.4766,0.0054,0.0000,1.3482,0.4764,0.0007,0.0017,0.8694,0.0013,238.6770,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u5-r22,2026-02-16T11:53:58.94671699+06:00,5,100,800,51549,127.1121,0.0302,3.7628,0.0092,0.0000,3.5682,0.7475,0.0012,0.0044,2.8157,0.0025,130.9206,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,count,batch_100-u6-r16,2026-02-16T11:53:58.947586283+06:00,6,100,800,51559,194.4619,0.0320,3.8455,0.0070,0.0000,3.7056,0.7851,0.0014,0.0041,2.9145,0.0028,198.3531,200,1,false,true,,,false,,,false,
run-07d1805b4e640d32,batch_100,sum,batch_100-u0-r27,2026-02-16T11:53:58.984486289+06:00,0,100,800,51547,101.2802,0.0306,0.9039,0.0101,0.0000,0.6397,0.4768,0.0011,0.0031,0.1590,0.0023,102.2318,200,1,false,true,,,false,,,false,
