run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u5-r18,2026-02-16T12:00:13.703773177+06:00,5,10,80,5223,19.8258,0.0078,11.6779,0.0103,0.0000,1.6445,0.0824,0.0003,0.0040,1.5603,0.0010,31.5277,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,sum,failure_drop_0pct-u0-r19,2026-02-16T12:00:13.707740855+06:00,0,10,80,5220,29.3522,0.0071,6.0973,0.0093,0.0000,0.1042,0.0798,0.0003,0.0027,0.0229,0.0008,35.4726,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u21-r32,2026-02-16T12:00:13.708619299+06:00,21,10,80,5222,8.7715,0.0043,7.4905,0.0098,0.0000,1.6254,0.0764,0.0002,0.0019,1.5478,0.0006,16.2814,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u37-r16,2026-02-16T12:00:13.708751508+06:00,37,10,80,5222,27.0600,0.0099,9.4612,0.0095,0.0000,1.5917,0.0767,0.0002,0.0027,1.5132,0.0009,36.5472,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u24-r22,2026-02-16T12:00:13.710255991+06:00,24,10,80,5225,15.6985,0.0083,11.1696,0.0105,0.0000,1.6367,0.0784,0.0002,0.0018,1.5568,0.0009,26.8915,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,sum,failure_drop_0pct-u9-r17,2026-02-16T12:00:13.711287693+06:00,9,10,80,5222,20.5343,0.0069,18.5068,0.0094,0.0000,0.1049,0.0810,0.0002,0.0030,0.0226,0.0007,39.0645,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,sum,failure_drop_0pct-u20-r27,2026-02-16T12:00:13.71193307+06:00,20,10,80,5223,8.7395,0.0043,19.7947,0.0087,0.0000,0.1154,0.0916,0.0002,0.0018,0.0224,0.0008,28.5546,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u11-r26,2026-02-16T12:00:13.714014366+06:00,11,10,80,5220,15.5018,0.0073,15.1150,0.0097,0.0000,1.6261,0.0790,0.0002,0.0024,1.5459,0.0006,30.6391,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u42-r8,2026-02-16T12:00:13.716287331+06:00,42,10,80,5222,31.5856,0.0081,12.7374,0.0091,0.0000,1.6233,0.0773,0.0002,0.0017,1.5449,0.0006,44.3454,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u46-r24,2026-02-16T12:00:13.716343289+06:00,46,10,80,5220,15.5810,0.0066,17.3745,0.0076,0.0000,1.6240,0.0759,0.0001,0.0019,1.5470,0.0006,32.9735,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,sum,failure_drop_0pct-u41-r25,2026-02-16T12:00:13.71826786+06:00,41,10,80,5223,31.5831,0.0094,3.2908,0.0077,0.0000,0.1412,0.0798,0.0003,0.0038,0.0591,0.0011,34.8959,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u24-r44,2026-02-16T12:00:13.72009656+06:00,24,10,80,5223,8.7817,0.0043,1.0447,0.0058,0.0000,0.9463,0.0550,0.0003,0.0025,0.8898,0.0008,9.8390,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,sum,failure_drop_0pct-u5-r37,2026-02-16T12:00:13.721124677+06:00,5,10,80,5220,17.0522,0.0098,0.2743,0.0082,0.0000,0.1176,0.0807,0.0004,0.0034,0.0349,0.0013,17.3493,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u47-r34,2026-02-16T12:00:13.722157928+06:00,47,10,80,5221,15.5280,0.0071,7.6217,0.0082,0.0000,1.6494,0.0824,0.0003,0.0033,1.5650,0.0011,23.1728,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u22-r36,2026-02-16T12:00:13.722891828+06:00,22,10,80,5224,8.7883,0.0043,12.8421,0.0087,0.0000,3.8284,0.0808,0.0004,0.0030,3.7454,0.0011,21.6497,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u19-r20,2026-02-16T12:00:13.722938551+06:00,19,10,80,5223,48.7130,0.0068,1.9308,0.0076,0.0000,1.6472,0.0845,0.0003,0.0031,1.5611,0.0010,50.6625,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,sum,failure_drop_0pct-u49-r1,2026-02-16T12:00:13.724223254+06:00,49,10,80,5222,28.6523,0.0069,23.8088,0.0074,0.0000,0.1024,0.0793,0.0002,0.0018,0.0220,0.0006,52.4800,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,sum,failure_drop_0pct-u44-r29,2026-02-16T12:00:13.726500437+06:00,44,10,80,5221,25.1719,0.0066,17.9271,0.0075,0.0000,0.1050,0.0806,0.0003,0.0032,0.0230,0.0008,43.1185,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u2-r30,2026-02-16T12:00:13.727293591+06:00,2,10,80,5223,26.9300,0.0071,16.9618,0.0069,0.0000,1.6092,0.0762,0.0002,0.0020,1.5319,0.0005,43.9092,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,sum,failure_drop_0pct-u40-r15,2026-02-16T12:00:13.727293437+06:00,40,10,80,5223,26.6669,0.0098,28.4167,0.0076,0.0000,0.0984,0.0757,0.0001,0.0017,0.0217,0.0006,55.1067,200,1,false,true,,,false,,,false,
run-bb1d5fa788633f54,failure_drop_0pct,count,failure_drop_0pct-u39-r14,2026-02-16T12:00:13.727293691+06:00,39,10,80,5221,22.5633,0.0076,32.5320,0.0069,0.0000,1.6185,0.0758,0.0002,0.0017,1.5416,0.0006,55.1146,200,1,false,true,,,false,,,false,
