run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-652bb5c136a986b8,batch_1000,count,batch_1000-u4-r6,2026-02-16T11:54:12.826713777+06:00,4,1000,8000,514908,1032.9911,0.6842,10.7931,0.0130,0.0000,10.0964,7.2889,0.0018,0.0069,2.8005,0.0039,1044.4971,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,sum,batch_1000-u3-r3,2026-02-16T11:54:12.846163018+06:00,3,1000,8000,514908,1051.8669,0.7042,11.4356,0.0113,0.0000,10.9517,7.2691,0.0017,0.0048,3.6769,0.0032,1064.0288,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,sum,batch_1000-u7-r5,2026-02-16T11:54:12.931158995+06:00,7,1000,8000,514917,1139.6982,0.9131,8.3216,0.0102,0.0000,7.7818,6.2303,0.0024,0.0042,1.5453,0.0042,1148.9539,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,sum,batch_1000-u9-r1,2026-02-16T11:54:12.97571631+06:00,9,1000,8000,514932,1186.1219,0.7102,6.7464,0.0064,0.0000,6.2570,4.7168,0.0013,0.0038,1.5365,0.0020,1193.5910,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,count,batch_1000-u1-r8,2026-02-16T11:54:12.979767574+06:00,1,1000,8000,514956,1186.2166,0.7163,10.5872,0.0070,0.0000,10.1142,7.3024,0.0016,0.0048,2.8066,0.0026,1197.5356,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,count,batch_1000-u6-r4,2026-02-16T11:54:13.009956973+06:00,6,1000,8000,514925,1216.3428,0.6184,10.8277,0.0097,0.0000,10.2754,7.3920,0.0018,0.0063,2.8773,0.0033,1227.8109,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,count,batch_1000-u0-r2,2026-02-16T11:54:13.069173495+06:00,0,1000,8000,514944,1275.3630,0.7074,10.9487,0.0111,0.0000,10.3295,7.4522,0.0025,0.0069,2.8699,0.0043,1287.0414,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,sum,batch_1000-u8-r7,2026-02-16T11:54:13.282869258+06:00,8,1000,8000,514912,1488.4726,0.4116,11.7363,0.0116,0.0000,11.0363,7.3391,0.0021,0.0059,3.6904,0.0040,1500.6444,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,count,batch_1000-u2-r10,2026-02-16T11:54:13.458367314+06:00,2,1000,8000,514921,1661.7756,0.9862,13.2984,0.0139,0.0000,12.5654,9.7469,0.0019,0.0101,2.8101,0.0044,1676.0883,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,sum,batch_1000-u5-r9,2026-02-16T11:54:13.534121197+06:00,5,1000,8000,514940,1744.4674,0.4556,6.9362,0.0075,0.0000,6.3414,4.8108,0.0010,0.0035,1.5271,0.0018,1751.8790,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,count,batch_1000-u3-r12,2026-02-16T11:54:13.951404049+06:00,3,1000,8000,514931,1094.5177,0.4311,10.2657,0.0113,0.0000,9.9928,7.1513,0.0016,0.0085,2.8348,0.0035,1105.2374,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,sum,batch_1000-u1-r15,2026-02-16T11:54:13.996032213+06:00,1,1000,8000,514952,1004.0686,0.9558,11.2162,0.0110,0.0000,10.9949,7.2075,0.0021,0.0060,3.7803,0.0039,1016.2618,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,sum,batch_1000-u4-r11,2026-02-16T11:54:14.063667648+06:00,4,1000,8000,514928,1225.4057,0.3752,11.1424,0.0115,0.0000,10.8695,7.1737,0.0018,0.0083,3.6890,0.0036,1236.9476,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,count,batch_1000-u6-r16,2026-02-16T11:54:14.137541383+06:00,6,1000,8000,514919,1116.8876,0.3235,10.3472,0.0135,0.0000,10.1077,7.2832,0.0017,0.0073,2.8179,0.0033,1127.5792,200,1,false,true,,,false,,,false,
run-652bb5c136a986b8,batch_1000,sum,batch_1000-u7-r13,2026-02-16T11:54:14.146202514+06:00,7,1000,8000,514937,1208.1282,0.3259,6.5588,0.0168,0.0000,6.3103,4.7425,0.0013,0.0034,1.5633,0.0026,1215.0396,200,1,false,true,,,false,,,false,
