run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u5-r1,2026-02-16T11:48:22.690247891+06:00,5,10,80,5224,15.8726,0.0086,0.6313,0.0087,0.0000,0.0846,0.0612,0.0002,0.0027,0.0220,0.0007,16.5258,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u67-r19,2026-02-16T11:48:22.691724424+06:00,67,10,80,5226,13.5619,0.0058,3.7520,0.0086,0.0000,0.1087,0.0842,0.0004,0.0040,0.0228,0.0010,17.3347,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u3-r5,2026-02-16T11:48:22.707189247+06:00,3,10,80,5222,15.7784,0.0074,17.6098,0.0088,0.0000,0.1039,0.0787,0.0003,0.0032,0.0237,0.0008,33.4099,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u0-r4,2026-02-16T11:48:22.716534272+06:00,0,10,80,5226,15.9075,0.0077,26.8263,0.0096,0.0000,1.6371,0.0754,0.0003,0.0027,1.5601,0.0009,42.7576,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u54-r27,2026-02-16T11:48:22.724372526+06:00,54,10,80,5227,29.6989,0.0068,4.6017,0.0096,0.0000,0.1059,0.0809,0.0003,0.0033,0.0234,0.0009,34.3220,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u10-r24,2026-02-16T11:48:22.725215704+06:00,10,10,80,5229,27.3968,0.0081,7.8047,0.0078,0.0000,1.6368,0.0761,0.0002,0.0021,1.5595,0.0006,35.2213,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u99-r3,2026-02-16T11:48:22.725621576+06:00,99,10,80,5225,21.0609,0.0041,30.7926,0.0083,0.0000,0.1077,0.0832,0.0003,0.0036,0.0229,0.0009,51.8716,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u53-r45,2026-02-16T11:48:22.728183491+06:00,53,10,80,5227,15.6186,0.0065,11.3461,0.0100,0.0000,0.1033,0.0787,0.0003,0.0040,0.0229,0.0009,26.9874,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u6-r40,2026-02-16T11:48:22.730893249+06:00,6,10,80,5226,15.5465,0.0067,14.4326,0.0097,0.0000,1.3371,0.0706,0.0004,0.0032,1.2615,0.0029,30.0005,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u56-r42,2026-02-16T11:48:22.740720559+06:00,56,10,80,5229,15.4987,0.0071,24.2981,0.0114,0.0000,9.8122,0.0614,0.0002,1.0477,1.2329,0.0005,39.8219,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u64-r26,2026-02-16T11:48:22.75095335+06:00,64,10,80,5227,26.7660,0.0074,34.1099,0.0106,0.0000,1.4139,0.0697,0.0002,0.0035,1.3414,0.0008,60.9033,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u77-r39,2026-02-16T11:48:22.750960082+06:00,77,10,80,5227,15.5806,0.0068,34.4615,0.0090,0.0000,0.0861,0.0664,0.0003,0.0020,0.0177,0.0012,50.0679,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u67-r37,2026-02-16T11:48:22.750986619+06:00,67,10,80,5225,15.5871,0.0068,43.6524,0.0098,0.0000,0.1033,0.0792,0.0002,0.0026,0.0225,0.0007,59.2604,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u28-r10,2026-02-16T11:48:22.752737605+06:00,28,10,80,5229,24.4328,0.0041,54.3485,0.0083,0.0000,1.6380,0.0808,0.0003,0.0035,1.5555,0.0009,78.7998,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u5-r29,2026-02-16T11:48:22.755180658+06:00,5,10,80,5226,21.7001,0.0038,43.2082,0.0088,0.0000,0.0996,0.0764,0.0002,0.0018,0.0220,0.0007,64.9307,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u4-r7,2026-02-16T11:48:22.7570887+06:00,4,10,80,5225,27.8710,0.0097,55.3276,0.0098,0.0000,0.1025,0.0787,0.0003,0.0019,0.0225,0.0007,83.2237,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u0-r58,2026-02-16T11:48:22.761620793+06:00,0,10,80,5227,23.5696,0.0085,21.4922,0.0082,0.0000,2.8562,0.0791,0.0010,0.0031,2.7741,0.0018,45.0841,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u54-r60,2026-02-16T11:48:22.766835009+06:00,54,10,80,5227,23.5735,0.0072,18.8643,0.0096,0.0000,2.8378,0.0793,0.0003,0.0026,2.7562,0.0011,42.4604,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u73-r32,2026-02-16T11:48:22.768631625+06:00,73,10,80,5225,29.0511,0.0036,48.6839,0.0079,0.0000,1.6466,0.0828,0.0003,0.0038,1.5622,0.0009,77.7513,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u28-r81,2026-02-16T11:48:22.76980577+06:00,28,10,80,5224,15.5053,0.0088,1.5364,0.0093,0.0000,0.1014,0.0775,0.0003,0.0022,0.0225,0.0007,17.0660,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u66-r16,2026-02-16T11:48:22.77080328+06:00,66,10,80,5229,15.9890,0.0088,80.7789,0.0082,0.0000,2.8543,0.0871,0.0006,0.0035,2.7634,0.0019,96.7897,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u16-r11,2026-02-16T11:48:22.770969423+06:00,16,10,80,5225,35.1143,0.0039,61.8932,0.0075,0.0000,0.1168,0.0808,0.0003,0.0026,0.0341,0.0011,97.0230,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u30-r41,2026-02-16T11:48:22.770988963+06:00,30,10,80,5224,15.5242,0.0069,54.5451,0.0081,0.0000,0.0821,0.0635,0.0002,0.0015,0.0174,0.0006,70.0934,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u52-r8,2026-02-16T11:48:22.771001147+06:00,52,10,80,5227,28.0411,0.0038,69.0681,0.0086,0.0000,1.5845,0.0774,0.0003,0.0034,1.5051,0.0010,97.1260,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u63-r14,2026-02-16T11:48:22.771644772+06:00,63,10,80,5227,40.3121,0.0095,57.3066,0.0092,0.0000,2.8365,0.0788,0.0003,0.0028,2.7555,0.0010,97.6456,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u2-r6,2026-02-16T11:48:22.773617442+06:00,2,10,80,5225,15.9672,0.0077,83.8046,0.0084,0.0000,1.6444,0.0833,0.0004,0.0020,1.5596,0.0009,99.7948,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u34-r17,2026-02-16T11:48:22.780999246+06:00,34,10,80,5225,15.9890,0.0080,90.9739,0.0081,0.0000,0.1244,0.0875,0.0003,0.0027,0.0346,0.0014,106.9844,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u99-r62,2026-02-16T11:48:22.781038097+06:00,99,10,80,5227,23.5002,0.0075,31.8913,0.0087,0.0000,2.8408,0.0798,0.0003,0.0027,2.7588,0.0013,55.4143,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u1-r2,2026-02-16T11:48:22.783010676+06:00,1,10,80,5226,16.2960,0.0054,92.9737,0.0075,0.0000,1.6426,0.0790,0.0002,0.0027,1.5623,0.0007,109.2873,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u40-r13,2026-02-16T11:48:22.785015087+06:00,40,10,80,5224,33.0248,0.0065,77.9837,0.0071,0.0000,0.1133,0.0876,0.0003,0.0035,0.0241,0.0009,111.0260,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u35-r34,2026-02-16T11:48:22.78875717+06:00,35,10,80,5227,34.9843,0.0074,62.8706,0.0088,0.0000,1.6249,0.0759,0.0002,0.0025,1.5478,0.0007,97.8761,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u3-r46,2026-02-16T11:48:22.790732884+06:00,3,10,80,5227,17.9428,0.0066,65.5778,0.0083,0.0000,1.6323,0.0851,0.0002,0.0026,1.5456,0.0006,83.5415,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u0-r91,2026-02-16T11:48:22.791577307+06:00,0,10,80,5223,29.7286,0.0062,0.2089,0.0072,0.0000,0.1072,0.0829,0.0003,0.0031,0.0227,0.0008,29.9538,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u69-r15,2026-02-16T11:48:22.792353484+06:00,69,10,80,5223,15.9498,0.0078,102.3736,0.0078,0.0000,0.1165,0.0804,0.0003,0.0026,0.0341,0.0012,118.3463,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u12-r53,2026-02-16T11:48:22.794860319+06:00,12,10,80,5226,41.8748,0.0074,42.0402,0.0080,0.0000,0.1148,0.0788,0.0002,0.0029,0.0345,0.0009,83.9366,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u38-r89,2026-02-16T11:48:22.795189121+06:00,38,10,80,5224,30.0289,0.0055,4.1944,0.0082,0.0000,0.1007,0.0773,0.0002,0.0020,0.0222,0.0006,34.2407,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u37-r72,2026-02-16T11:48:22.7962261+06:00,37,10,80,5226,30.4528,0.0090,24.8390,0.0076,0.0000,1.6371,0.0799,0.0003,0.0022,1.5560,0.0007,55.3121,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u79-r65,2026-02-16T11:48:22.799825398+06:00,79,10,80,5226,15.6060,0.0065,43.7882,0.0083,0.0000,0.1541,0.1053,0.0004,0.0049,0.0463,0.0013,59.4158,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u44-r87,2026-02-16T11:48:22.799957654+06:00,44,10,80,5227,29.8820,0.0062,9.1093,0.0083,0.0000,0.1050,0.0806,0.0002,0.0036,0.0230,0.0008,39.0121,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u40-r112,2026-02-16T11:48:22.802275262+06:00,40,10,80,5228,15.4978,0.0071,1.7421,0.0084,0.0000,1.6348,0.0782,0.0003,0.0025,1.5552,0.0007,17.2586,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u68-r22,2026-02-16T11:48:22.802380567+06:00,68,10,80,5227,22.2350,0.0070,90.3980,0.0079,0.0000,1.6380,0.0775,0.0002,0.0025,1.5594,0.0005,112.6557,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u70-r38,2026-02-16T11:48:22.802531612+06:00,70,10,80,5228,35.5426,0.0079,74.7016,0.0076,0.0000,2.8598,0.0794,0.0002,0.0028,2.7782,0.0010,110.2658,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u2-r105,2026-02-16T11:48:22.806411887+06:00,2,10,80,5226,13.6230,0.0040,17.6011,0.0089,0.0000,0.1079,0.0828,0.0003,0.0034,0.0232,0.0009,31.2407,200,1,false,true,,,true,4326,4326,true,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u57-r18,2026-02-16T11:48:22.808046639+06:00,57,10,80,5228,15.8788,0.0073,118.1194,0.0069,0.0000,2.8836,0.0804,0.0003,0.0033,2.8008,0.0011,134.0171,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u0-r117,2026-02-16T11:48:22.808824872+06:00,0,10,80,5226,15.4881,0.0075,1.7408,0.0071,0.0000,0.1081,0.0827,0.0003,0.0033,0.0238,0.0009,17.2461,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u45-r106,2026-02-16T11:48:22.809375643+06:00,45,10,80,5229,21.4093,0.0068,6.9481,0.0088,0.0000,1.6359,0.0789,0.0002,0.0032,1.5555,0.0007,28.3819,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u21-r92,2026-02-16T11:48:22.81086678+06:00,21,10,80,5229,12.2654,0.0077,36.7763,0.0095,0.0000,1.6484,0.0802,0.0003,0.0038,1.5667,0.0007,49.0659,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u69-r120,2026-02-16T11:48:22.811786335+06:00,69,10,80,5230,15.6481,0.0068,3.7648,0.0079,0.0000,1.6388,0.0778,0.0002,0.0024,1.5594,0.0006,19.4312,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u28-r95,2026-02-16T11:48:22.812234257+06:00,28,10,80,5226,25.2706,0.0071,17.1381,0.0064,0.0000,0.1014,0.0769,0.0002,0.0022,0.0230,0.0006,42.4255,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u37-r123,2026-02-16T11:48:22.812702838+06:00,37,10,80,5225,15.5538,0.0061,0.9026,0.0082,0.0000,0.0982,0.0750,0.0002,0.0019,0.0220,0.0006,16.4753,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u52-r103,2026-02-16T11:48:22.813842834+06:00,52,10,80,5228,15.5270,0.0077,27.2917,0.0074,0.0000,0.1159,0.0802,0.0003,0.0030,0.0339,0.0011,42.8399,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u43-r69,2026-02-16T11:48:22.814123185+06:00,43,10,80,5223,28.5239,0.0142,44.6599,0.0077,0.0000,0.1074,0.0825,0.0004,0.0040,0.0232,0.0010,73.2117,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u63-r104,2026-02-16T11:48:22.822032341+06:00,63,10,80,5229,28.2039,0.0089,22.1616,0.0074,0.0000,2.9453,0.0801,0.0003,0.0038,2.8626,0.0011,50.3852,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u65-r43,2026-02-16T11:48:22.823635932+06:00,65,10,80,5227,15.5799,0.0072,107.1387,0.0067,0.0000,0.1153,0.0794,0.0003,0.0030,0.0340,0.0012,122.7369,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u12-r121,2026-02-16T11:48:22.823870286+06:00,12,10,80,5226,16.9668,0.0072,12.0202,0.0075,0.0000,0.0986,0.0756,0.0002,0.0017,0.0220,0.0005,29.0076,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u20-r80,2026-02-16T11:48:22.823946004+06:00,20,10,80,5226,9.0923,0.0043,62.3008,0.0101,0.0000,2.8575,0.0774,0.0002,0.0030,2.7780,0.0008,71.4123,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u73-r94,2026-02-16T11:48:22.824007353+06:00,73,10,80,5228,20.0294,0.0065,35.3268,0.0077,0.0000,1.6358,0.0813,0.0002,0.0032,1.5530,0.0008,55.3739,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u88-r44,2026-02-16T11:48:22.82417188+06:00,88,10,80,5228,25.2509,0.0066,97.9839,0.0098,0.0000,1.6346,0.0784,0.0003,0.0026,1.5548,0.0007,123.2558,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u11-r36,2026-02-16T11:48:22.825657418+06:00,11,10,80,5228,39.7115,0.0070,95.0411,0.0062,0.0000,2.8991,0.0783,0.0003,0.0037,2.8180,0.0013,134.7692,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u6-r64,2026-02-16T11:48:22.825748197+06:00,6,10,80,5226,31.0609,0.0075,63.7718,0.0081,0.0000,1.6341,0.0769,0.0002,0.0022,1.5561,0.0005,94.8531,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u36-r52,2026-02-16T11:48:22.826903007+06:00,36,10,80,5229,37.2355,0.0074,78.7277,0.0079,0.0000,2.0632,0.0771,0.0005,0.0038,1.9832,0.0009,115.9846,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u82-r113,2026-02-16T11:48:22.833181715+06:00,82,10,80,5226,15.5779,0.0064,31.0346,0.0096,0.0000,0.0999,0.0758,0.0002,0.0022,0.0228,0.0007,46.6336,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u62-r100,2026-02-16T11:48:22.833288047+06:00,62,10,80,5226,15.6164,0.0070,46.6803,0.0089,0.0000,2.8511,0.0814,0.0003,0.0043,2.7675,0.0011,62.3205,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u34-r109,2026-02-16T11:48:22.83387135+06:00,34,10,80,5225,18.8286,0.0096,34.0217,0.0068,0.0000,0.1394,0.0953,0.0003,0.0027,0.0418,0.0012,52.8703,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u16-r101,2026-02-16T11:48:22.833884464+06:00,16,10,80,5228,15.6819,0.0066,47.2111,0.0077,0.0000,0.1135,0.0777,0.0002,0.0026,0.0342,0.0009,62.9138,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u5-r82,2026-02-16T11:48:22.833949972+06:00,5,10,80,5228,15.5221,0.0070,63.2252,0.0079,0.0000,1.6886,0.0765,0.0002,0.0021,1.6111,0.0006,78.7672,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u72-r20,2026-02-16T11:48:22.838494516+06:00,72,10,80,5229,38.4916,0.0061,123.7116,0.0091,0.0000,2.8364,0.0779,0.0003,0.0028,2.7562,0.0012,162.2242,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u77-r78,2026-02-16T11:48:22.841590002+06:00,77,10,80,5229,34.3290,0.0067,56.2796,0.0077,0.0000,1.6191,0.0767,0.0002,0.0020,1.5412,0.0006,90.6273,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u54-r93,2026-02-16T11:48:22.842095523+06:00,54,10,80,5226,14.0017,0.0036,61.2406,0.0074,0.0000,0.1068,0.0824,0.0003,0.0036,0.0229,0.0008,75.2576,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u73-r151,2026-02-16T11:48:22.843180198+06:00,73,10,80,5225,15.5469,0.0072,3.6072,0.0068,0.0000,0.1030,0.0794,0.0003,0.0031,0.0222,0.0008,19.1716,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u6-r154,2026-02-16T11:48:22.84343424+06:00,6,10,80,5229,15.5361,0.0065,2.1284,0.0085,0.0000,1.6390,0.0764,0.0002,0.0023,1.5613,0.0006,17.6845,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u99-r110,2026-02-16T11:48:22.843893912+06:00,99,10,80,5230,28.1964,0.0135,34.6302,0.0076,0.0000,2.9848,0.0876,0.0003,0.0044,2.8947,0.0012,62.8536,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u14-r85,2026-02-16T11:48:22.843905681+06:00,14,10,80,5226,25.5652,0.0064,61.3152,0.0069,0.0000,0.1078,0.0833,0.0004,0.0032,0.0220,0.0011,86.8976,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u33-r90,2026-02-16T11:48:22.846343787+06:00,33,10,80,5227,17.5358,0.0079,67.5197,0.0087,0.0000,1.6378,0.0799,0.0002,0.0017,1.5567,0.0006,85.0789,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u65-r148,2026-02-16T11:48:22.848489293+06:00,65,10,80,5229,18.2649,0.0065,6.5669,0.0091,0.0000,1.6391,0.0786,0.0002,0.0021,1.5593,0.0006,24.8522,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u43-r146,2026-02-16T11:48:22.848879943+06:00,43,10,80,5230,30.0644,0.0063,4.6727,0.0079,0.0000,1.6522,0.0806,0.0003,0.0034,1.5700,0.0008,34.7547,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u27-r108,2026-02-16T11:48:22.849489664+06:00,27,10,80,5227,20.8859,0.0066,47.5907,0.0071,0.0000,1.6391,0.0853,0.0003,0.0035,1.5523,0.0008,68.4943,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u10-r61,2026-02-16T11:48:22.850619114+06:00,10,10,80,5227,31.7314,0.0067,93.6522,0.0074,0.0000,0.0991,0.0759,0.0002,0.0017,0.0222,0.0005,125.4018,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u37-r139,2026-02-16T11:48:22.852356028+06:00,37,10,80,5226,34.0182,0.0067,5.6118,0.0090,0.0000,0.1183,0.0816,0.0004,0.0035,0.0346,0.0012,39.6510,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,count,concurrency_100_users-u88-r152,2026-02-16T11:48:22.853901651+06:00,88,10,80,5230,15.6564,0.0069,14.0547,0.0067,0.0000,1.6417,0.0826,0.0003,0.0034,1.5577,0.0007,29.7278,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u75-r9,2026-02-16T11:48:22.853904537+06:00,75,10,80,5225,33.0963,0.0068,146.8796,0.0066,0.0000,0.1010,0.0779,0.0002,0.0020,0.0219,0.0007,179.9949,200,1,false,true,,,false,,,false,
run-94e76870bbdcbfa2,concurrency_100_users,sum,concurrency_100_users-u60-r71,2026-02-16T11:48:22.85390967+06:00,60,10,80,5226,15.3755,0.0080,97.5968,0.0069,0.0000,0.1128,0.0780,0.0003,0.0026,0.0332,0.0010,112.9963,200,1,false,true,,,false,,,false,
