run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-1ffbab94107dcc84,concurrency_1_users,sum,concurrency_1_users-u0-r1,2026-02-16T11:48:07.969771202+06:00,0,10,80,5222,15.6397,0.0097,0.5006,0.0072,0.0000,0.0757,0.0591,0.0002,0.0031,0.0148,0.0006,16.1622,200,1,false,true,,,false,,,false,
run-1ffbab94107dcc84,concurrency_1_users,count,concurrency_1_users-u0-r2,2026-02-16T11:48:07.979408605+06:00,0,10,80,5223,8.6188,0.0062,1.0030,0.0044,0.0000,0.9270,0.0567,0.0002,0.0024,0.8686,0.0005,9.6350,200,1,false,true,,,false,,,false,
run-1ffbab94107dcc84,concurrency_1_users,sum,concurrency_1_users-u0-r3,2026-02-16T11:48:07.990413351+06:00,0,10,80,5220,10.7727,0.0033,0.2177,0.0052,0.0000,0.0841,0.0650,0.0009,0.0026,0.0157,0.0019,11.0030,200,1,false,true,,,false,,,false,
run-1ffbab94107dcc84,concurrency_1_users,count,concurrency_1_users-u0-r4,2026-02-16T11:48:08.000184499+06:00,0,10,80,5224,8.6273,0.0033,1.1265,0.0047,0.0000,0.9713,0.0925,0.0012,0.0016,0.8753,0.0022,9.7692,200,1,false,true,,,false,,,false,
run-1ffbab94107dcc84,concurrency_1_users,sum,concurrency_1_users-u0-r5,2026-02-16T11:48:08.008968839+06:00,0,10,80,5221,8.6359,0.0053,0.1347,0.0043,0.0000,0.0721,0.0556,0.0007,0.0017,0.0143,0.0011,8.7828,200,1,false,true,,,false,,,false,
run-1ffbab94107dcc84,concurrency_1_users,count,concurrency_1_users-u0-r6,2026-02-16T11:48:08.018624164+06:00,0,10,80,5224,8.6074,0.0032,1.0264,0.0092,0.0000,0.9338,0.0540,0.0007,0.0013,0.8779,0.0010,9.6538,200,1,false,true,,,false,,,false,
run-1ffbab94107dcc84,concurrency_1_users,sum,concurrency_1_users-u0-r7,2026-02-16T11:48:08.027864951+06:00,0,10,80,5222,9.0394,0.0032,0.1792,0.0088,0.0000,0.0831,0.0641,0.0009,0.0023,0.0156,0.0019,9.2374,200,1,false,true,,,false,,,false,
run-1ffbab94107dcc84,concurrency_1_users,count,concurrency_1_users-u0-r8,2026-02-16T11:48:08.047502517+06:00,0,10,80,5224,18.6043,0.0050,1.0163,0.0053,0.0000,0.9365,0.0579,0.0007,0.0016,0.8764,0.0012,19.6348,200,1,false,true,,,false,,,false,
run-1ffbab94107dcc84,concurrency_1_users,sum,concurrency_1_users-u0-r9,2026-02-16T11:48:08.056303799+06:00,0,10,80,5221,8.6285,0.0036,0.1559,0.0065,0.0000,0.0782,0.0561,0.0008,0.0019,0.0194,0.0013,8.7996,200,1,false,true,,,false,,,false,
run-1ffbab94107dcc84,concurrency_1_users,count,concurrency_1_users-u0-r10,2026-02-16T11:48:08.066725423+06:00,0,10,80,5226,9.3315,0.0043,1.0759,0.0046,0.0000,0.9800,0.0629,0.0007,0.0012,0.9147,0.0014,10.4192,200,1,false,true,,,false,,,false,
