run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-78d5b67dd345b673,concurrency_1_users,sum,concurrency_1_users-u0-r1,2026-02-16T11:48:06.765507725+06:00,0,10,80,5222,11.3646,0.0189,0.7181,0.0263,0.0000,0.1461,0.1030,0.0020,0.0361,0.0367,0.0038,12.1399,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,count,concurrency_1_users-u0-r2,2026-02-16T11:48:06.775395544+06:00,0,10,80,5224,8.7967,0.0060,1.0706,0.0055,0.0000,0.9481,0.0567,0.0008,0.0028,0.8885,0.0014,9.8842,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,sum,concurrency_1_users-u0-r3,2026-02-16T11:48:06.784953818+06:00,0,10,80,5223,9.3214,0.0057,0.2110,0.0091,0.0000,0.0809,0.0592,0.0007,0.0027,0.0192,0.0015,9.5556,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,count,concurrency_1_users-u0-r4,2026-02-16T11:48:06.802449472+06:00,0,10,80,5223,16.4393,0.0031,1.0393,0.0055,0.0000,0.9290,0.0550,0.0008,0.0015,0.8718,0.0012,17.4925,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,sum,concurrency_1_users-u0-r5,2026-02-16T11:48:06.811295615+06:00,0,10,80,5223,8.6229,0.0032,0.2022,0.0092,0.0000,0.0844,0.0631,0.0008,0.0019,0.0184,0.0016,8.8440,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,count,concurrency_1_users-u0-r6,2026-02-16T11:48:06.822490608+06:00,0,10,80,5221,10.1334,0.0031,1.0475,0.0048,0.0000,0.9600,0.0557,0.0002,0.0014,0.9028,0.0005,11.1918,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,sum,concurrency_1_users-u0-r7,2026-02-16T11:48:06.831235034+06:00,0,10,80,5219,8.5914,0.0042,0.1413,0.0042,0.0000,0.0738,0.0548,0.0007,0.0013,0.0170,0.0010,8.7433,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,count,concurrency_1_users-u0-r8,2026-02-16T11:48:06.844382632+06:00,0,10,80,5222,12.0972,0.0034,1.0379,0.0047,0.0000,0.9260,0.0565,0.0007,0.0015,0.8671,0.0013,13.1462,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,sum,concurrency_1_users-u0-r9,2026-02-16T11:48:06.853161272+06:00,0,10,80,5219,8.6081,0.0035,0.1589,0.0043,0.0000,0.0744,0.0547,0.0007,0.0014,0.0175,0.0012,8.7773,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,count,concurrency_1_users-u0-r10,2026-02-16T11:48:06.865637725+06:00,0,10,80,5226,9.4704,0.0086,2.9797,0.0090,0.0000,2.8701,0.0934,0.0010,0.0036,2.7720,0.0024,12.4745,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,sum,concurrency_1_users-u0-r11,2026-02-16T11:48:06.880578694+06:00,0,10,80,5223,14.6637,0.0036,0.2607,0.0068,0.0000,0.0795,0.0574,0.0009,0.0028,0.0187,0.0021,14.9387,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,count,concurrency_1_users-u0-r12,2026-02-16T11:48:06.89043464+06:00,0,10,80,5224,8.7483,0.0045,1.0916,0.0052,0.0000,0.9275,0.0578,0.0007,0.0025,0.8671,0.0014,9.8544,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,sum,concurrency_1_users-u0-r13,2026-02-16T11:48:06.900876322+06:00,0,10,80,5223,10.0627,0.0045,0.3555,0.0086,0.0000,0.2150,0.1955,0.0002,0.0020,0.0175,0.0008,10.4394,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,count,concurrency_1_users-u0-r14,2026-02-16T11:48:06.910812427+06:00,0,10,80,5226,8.8835,0.0033,1.0352,0.0048,0.0000,0.9283,0.0558,0.0002,0.0014,0.8709,0.0008,9.9340,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,sum,concurrency_1_users-u0-r15,2026-02-16T11:48:06.921211014+06:00,0,10,80,5222,10.1078,0.0042,0.2720,0.0067,0.0000,0.0854,0.0627,0.0011,0.0027,0.0190,0.0023,10.3974,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,count,concurrency_1_users-u0-r16,2026-02-16T11:48:06.932886157+06:00,0,10,80,5225,8.5760,0.0041,3.0797,0.0067,0.0000,2.8677,0.0962,0.0015,0.0035,2.7668,0.0028,11.6727,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,sum,concurrency_1_users-u0-r17,2026-02-16T11:48:06.943271852+06:00,0,10,80,5222,10.1754,0.0046,0.1886,0.0067,0.0000,0.0790,0.0614,0.0008,0.0025,0.0150,0.0014,10.3831,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,count,concurrency_1_users-u0-r18,2026-02-16T11:48:06.952941881+06:00,0,10,80,5225,8.5650,0.0039,1.0887,0.0051,0.0000,0.9280,0.0563,0.0009,0.0028,0.8681,0.0020,9.6679,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,sum,concurrency_1_users-u0-r19,2026-02-16T11:48:06.963274347+06:00,0,10,80,5224,10.1352,0.0037,0.1774,0.0087,0.0000,0.0763,0.0585,0.0007,0.0019,0.0152,0.0014,10.3301,200,1,false,true,,,false,,,false,
run-78d5b67dd345b673,concurrency_1_users,count,concurrency_1_users-u0-r20,2026-02-16T11:48:06.981483922+06:00,0,10,80,5224,16.9950,0.0036,1.1958,0.0066,0.0000,0.9402,0.0585,0.0004,0.0027,0.8787,0.0015,18.2065,200,1,false,true,,,false,,,false,
