run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u3-r7,2026-02-16T11:58:28.656282384+06:00,3,10,80,5216,8.8709,0.0061,11.9384,0.0194,10.0000,0.2798,0.1958,0.0042,0.0158,0.0721,0.0074,20.8699,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u6-r4,2026-02-16T11:58:28.658419861+06:00,6,10,80,5216,8.9139,0.0044,14.0611,0.0182,10.0000,2.5847,0.1524,0.0022,0.0093,2.4252,0.0037,23.0225,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u7-r8,2026-02-16T11:58:28.661914385+06:00,7,10,80,5217,8.8868,0.0049,17.5628,0.0205,10.0000,5.9501,0.1949,0.0022,0.0084,5.7428,0.0053,26.4953,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u9-r1,2026-02-16T11:58:28.664105361+06:00,9,10,80,5215,17.4109,0.0158,11.2570,0.0159,10.0000,0.2431,0.1698,0.0006,0.0064,0.0669,0.0026,28.7193,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u8-r10,2026-02-16T11:58:28.672644406+06:00,8,10,80,5218,24.3946,0.0351,12.7267,0.0135,10.0000,1.3823,0.0900,0.0013,0.0050,1.2867,0.0026,37.1852,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u0-r9,2026-02-16T11:58:28.674993557+06:00,0,10,80,5215,28.6284,0.0167,10.8912,0.0117,10.0000,0.1828,0.1267,0.0030,0.0057,0.0479,0.0049,39.5649,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u2-r5,2026-02-16T11:58:28.676427453+06:00,2,10,80,5214,29.4046,0.0178,11.5786,0.0126,10.0000,0.1905,0.1338,0.0019,0.0071,0.0500,0.0038,41.0290,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u1-r2,2026-02-16T11:58:28.676475694+06:00,1,10,80,5216,28.4329,0.0164,12.6164,0.0104,10.0000,1.7057,0.1081,0.0015,0.0054,1.5927,0.0029,41.0858,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u4-r3,2026-02-16T11:58:28.677802132+06:00,4,10,80,5215,31.3046,0.0144,11.0545,0.0139,10.0000,0.1926,0.1344,0.0023,0.0050,0.0507,0.0042,42.4047,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u5-r6,2026-02-16T11:58:28.688165949+06:00,5,10,80,5218,39.1772,0.0132,13.5526,0.0086,10.0000,2.0053,0.1079,0.0015,0.0046,1.8909,0.0028,52.7572,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u7-r13,2026-02-16T11:58:28.691929477+06:00,7,10,80,5214,19.0558,0.0067,10.9307,0.0082,10.0000,0.0942,0.0724,0.0010,0.0017,0.0183,0.0019,30.0071,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u9-r14,2026-02-16T11:58:28.695925713+06:00,9,10,80,5219,17.8416,0.0067,13.9488,0.0088,10.0000,2.8987,0.0903,0.0015,0.0035,2.8034,0.0026,31.8153,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u3-r11,2026-02-16T11:58:28.701464041+06:00,3,10,80,5217,34.4116,0.0084,10.7459,0.0054,10.0000,0.0720,0.0550,0.0009,0.0016,0.0152,0.0014,45.1743,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u1-r18,2026-02-16T11:58:28.703444812+06:00,1,10,80,5218,13.7981,0.0045,13.1457,0.0089,10.0000,2.8959,0.0894,0.0011,0.0031,2.8018,0.0023,26.9649,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u6-r12,2026-02-16T11:58:28.708625806+06:00,6,10,80,5219,36.6131,0.0145,13.5556,0.0091,10.0000,2.9464,0.0877,0.0012,0.0038,2.8541,0.0021,50.1988,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u4-r19,2026-02-16T11:58:28.708753286+06:00,4,10,80,5216,20.6215,0.0042,10.3108,0.0054,10.0000,0.0804,0.0629,0.0009,0.0024,0.0150,0.0014,30.9447,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u5-r20,2026-02-16T11:58:28.711600969+06:00,5,10,80,5216,10.2506,0.0063,13.1605,0.0084,10.0000,2.8921,0.1078,0.0003,0.0041,2.7808,0.0012,23.4319,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u7-r21,2026-02-16T11:58:28.711758549+06:00,7,10,80,5216,9.3927,0.0035,10.4146,0.0085,10.0000,0.1281,0.0888,0.0014,0.0028,0.0349,0.0024,19.8263,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u8-r15,2026-02-16T11:58:28.714394528+06:00,8,10,80,5216,31.2261,0.0094,10.4936,0.0086,10.0000,0.1264,0.0883,0.0012,0.0027,0.0344,0.0021,41.7456,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u0-r16,2026-02-16T11:58:28.717408731+06:00,0,10,80,5217,30.5571,0.0096,11.8302,0.0082,10.0000,0.9414,0.0554,0.0007,0.0021,0.8834,0.0014,42.4103,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u2-r17,2026-02-16T11:58:28.718353099+06:00,2,10,80,5216,30.3438,0.0091,10.6958,0.0049,10.0000,0.0707,0.0545,0.0007,0.0013,0.0142,0.0010,41.0566,200,1,false,true,,,true,4326,4326,true,
run-bd5bbfe9d6051585,latency_10ms,sum,latency_10ms-u3-r23,2026-02-16T11:58:28.720658078+06:00,3,10,80,5216,8.7047,0.0037,10.4688,0.0080,10.0000,0.1255,0.0858,0.0011,0.0027,0.0357,0.0020,19.1923,200,1,false,true,,,false,,,false,
run-bd5bbfe9d6051585,latency_10ms,count,latency_10ms-u9-r22,2026-02-16T11:58:28.725740427+06:00,9,10,80,5218,17.2202,0.0031,12.5738,0.0083,10.0000,2.0398,0.0929,0.0013,0.0032,1.9429,0.0024,29.8108,200,1,false,true,,,false,,,false,
