experiment_name,operation_mode,runs,total_completed,total_failed,overall_success_rate,mean_success_rate,total_retries,mean_retries_per_run,total_correctness_sampled,total_correctness_passed,total_correctness_failed,overall_correctness_pass_rate
batch_1,mixed,2,2000,0,1.000000,1.000000,0,0.000000,24,24,0,1.000000
batch_10,mixed,2,2000,0,1.000000,1.000000,0,0.000000,16,16,0,1.000000
batch_100,mixed,2,2000,0,1.000000,1.000000,0,0.000000,20,20,0,1.000000
batch_1000,mixed,2,2000,0,1.000000,1.000000,0,0.000000,20,20,0,1.000000
concurrency_1000_users,mixed,2,200000,0,1.000000,1.000000,11,5.500000,2034,2034,0,1.000000
concurrency_100_users,mixed,2,20000,0,1.000000,1.000000,0,0.000000,206,206,0,1.000000
concurrency_10_users,mixed,2,2000,0,1.000000,1.000000,0,0.000000,16,16,0,1.000000
concurrency_1_users,mixed,2,200,0,1.000000,1.000000,0,0.000000,0,0,0,0.000000
concurrency_500_users,mixed,2,100000,0,1.000000,1.000000,0,0.000000,1038,1038,0,1.000000
failure_drop_0pct,mixed,2,10000,0,1.000000,1.000000,0,0.000000,100,100,0,1.000000
failure_drop_1pct,mixed,2,10000,0,1.000000,1.000000,111,55.500000,100,100,0,1.000000
failure_drop_5pct,mixed,2,9981,19,0.998100,0.998100,499,249.500000,107,107,0,1.000000
latency_0ms,mixed,2,2000,0,1.000000,1.000000,0,0.000000,16,16,0,1.000000
latency_100ms,mixed,2,2000,0,1.000000,1.000000,0,0.000000,16,16,0,1.000000
latency_10ms,mixed,2,2000,0,1.000000,1.000000,0,0.000000,16,16,0,1.000000
latency_50ms,mixed,2,2000,0,1.000000,1.000000,0,0.000000,16,16,0,1.000000
throughput_burst,mixed,2,57834,0,1.000000,1.000000,0,0.000000,584,584,0,1.000000
