run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-1ad894d5f9683bfe,batch_10,sum,batch_10-u6-r5,2026-02-16T11:53:42.492672142+06:00,6,10,80,5212,16.8331,0.0089,0.8342,0.0115,0.0000,0.1233,0.0953,0.0004,0.0068,0.0253,0.0011,17.6983,200,1,false,true,,,false,,,false,
run-1ad894d5f9683bfe,batch_10,sum,batch_10-u4-r7,2026-02-16T11:53:42.492998538+06:00,4,10,80,5209,17.4090,0.0073,0.5721,0.0117,0.0000,0.1261,0.0976,0.0012,0.0047,0.0246,0.0020,18.0157,200,1,false,true,,,false,,,false,
run-1ad894d5f9683bfe,batch_10,count,batch_10-u1-r4,2026-02-16T11:53:42.495985347+06:00,1,10,80,5214,16.9278,0.0080,4.0532,0.0098,0.0000,3.4295,0.1167,0.0023,0.0054,3.3059,0.0036,21.0129,200,1,false,true,,,false,,,false,
run-1ad894d5f9683bfe,batch_10,sum,batch_10-u9-r1,2026-02-16T11:53:42.49749005+06:00,9,10,80,5211,23.7789,0.0067,0.5622,0.0095,0.0000,0.1510,0.1063,0.0019,0.0051,0.0391,0.0032,24.3672,200,1,false,true,,,false,,,false,
run-1ad894d5f9683bfe,batch_10,count,batch_10-u5-r6,2026-02-16T11:53:42.499312216+06:00,5,10,80,5212,22.6104,0.0105,1.6945,0.0080,0.0000,1.3126,0.0796,0.0012,0.0037,1.2285,0.0023,24.3308,200,1,false,true,,,false,,,false,
run-1ad894d5f9683bfe,batch_10,count,batch_10-u3-r2,2026-02-16T11:53:42.499331924+06:00,3,10,80,5214,23.7988,0.0066,2.0933,0.0099,0.0000,1.7356,0.1020,0.0015,0.0040,1.6297,0.0029,25.9155,200,1,false,true,,,false,,,false,
run-1ad894d5f9683bfe,batch_10,count,batch_10-u2-r8,2026-02-16T11:53:42.501079353+06:00,2,10,80,5214,22.5619,0.0117,3.4913,0.0098,0.0000,3.0552,0.1000,0.0014,0.0042,2.9492,0.0024,26.0842,200,1,false,true,,,false,,,false,
run-1ad894d5f9683bfe,batch_10,sum,batch_10-u7-r9,2026-02-16T11:53:42.501213022+06:00,7,10,80,5210,25.7078,0.0071,0.4318,0.0071,0.0000,0.1021,0.0782,0.0011,0.0039,0.0203,0.0017,26.1614,200,1,false,true,,,false,,,false,
run-1ad894d5f9683bfe,batch_10,sum,batch_10-u0-r3,2026-02-16T11:53:42.501227453+06:00,0,10,80,5211,27.2404,0.0055,0.5369,0.0072,0.0000,0.1022,0.0783,0.0010,0.0027,0.0206,0.0017,27.7970,200,1,false,true,,,false,,,false,
run-1ad894d5f9683bfe,batch_10,sum,batch_10-u6-r11,2026-02-16T11:53:42.504956973+06:00,6,10,80,5213,12.0428,0.0050,0.2153,0.0086,0.0000,0.0929,0.0711,0.0008,0.0031,0.0191,0.0014,12.2799,200,1,false,true,,,false,,,false,
