run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-0a140064ff3fbf51,concurrency_10_users,sum,concurrency_10_users-u2-r5,2026-02-16T11:48:09.153493386+06:00,2,10,80,5223,11.6045,0.0050,0.6196,0.0102,0.0000,0.0860,0.0670,0.0004,0.0043,0.0168,0.0012,12.2515,200,1,false,true,,,false,,,false,
run-0a140064ff3fbf51,concurrency_10_users,sum,concurrency_10_users-u1-r1,2026-02-16T11:48:09.153738724+06:00,1,10,80,5224,12.0290,0.0076,0.5568,0.0052,0.0000,0.0755,0.0581,0.0002,0.0028,0.0151,0.0007,12.6039,200,1,false,true,,,false,,,false,
run-0a140064ff3fbf51,concurrency_10_users,sum,concurrency_10_users-u4-r7,2026-02-16T11:48:09.153866264+06:00,4,10,80,5222,11.8801,0.0065,0.6299,0.0085,0.0000,0.1309,0.0910,0.0015,0.0046,0.0355,0.0025,12.5323,200,1,false,true,,,false,,,false,
run-0a140064ff3fbf51,concurrency_10_users,count,concurrency_10_users-u0-r2,2026-02-16T11:48:09.154596254+06:00,0,10,80,5226,11.9909,0.0040,1.4300,0.0069,0.0000,0.9473,0.0810,0.0003,0.0030,0.8632,0.0009,13.4346,200,1,false,true,,,false,,,false,
run-0a140064ff3fbf51,concurrency_10_users,count,concurrency_10_users-u5-r10,2026-02-16T11:48:09.154967546+06:00,5,10,80,5225,11.6276,0.0071,1.6943,0.0059,0.0000,1.4219,0.0940,0.0004,0.0021,1.3246,0.0017,13.3397,200,1,false,true,,,false,,,false,
run-0a140064ff3fbf51,concurrency_10_users,count,concurrency_10_users-u7-r6,2026-02-16T11:48:09.160232912+06:00,7,10,80,5224,17.6169,0.0059,1.3209,0.0049,0.0000,0.9723,0.0590,0.0007,0.0023,0.9111,0.0012,18.9534,200,1,false,true,,,false,,,false,
run-0a140064ff3fbf51,concurrency_10_users,sum,concurrency_10_users-u9-r3,2026-02-16T11:48:09.161410196+06:00,9,10,80,5223,19.8232,0.0062,0.4084,0.0054,0.0000,0.0718,0.0552,0.0002,0.0025,0.0155,0.0006,20.2477,200,1,false,true,,,false,,,false,
run-0a140064ff3fbf51,concurrency_10_users,count,concurrency_10_users-u1-r12,2026-02-16T11:48:09.163401724+06:00,1,10,80,5225,8.6292,0.0057,1.0188,0.0043,0.0000,0.9223,0.0547,0.0008,0.0024,0.8654,0.0011,9.6606,200,1,false,true,,,false,,,false,
run-0a140064ff3fbf51,concurrency_10_users,sum,concurrency_10_users-u5-r15,2026-02-16T11:48:09.163735273+06:00,5,10,80,5225,8.5776,0.0061,0.1734,0.0044,0.0000,0.0703,0.0535,0.0008,0.0017,0.0147,0.0012,8.7647,200,1,false,true,,,false,,,false,
run-0a140064ff3fbf51,concurrency_10_users,count,concurrency_10_users-u0-r14,2026-02-16T11:48:09.164230532+06:00,0,10,80,5227,8.5834,0.0057,1.0260,0.0096,0.0000,0.9151,0.0599,0.0007,0.0025,0.8527,0.0011,9.6318,200,1,false,true,,,false,,,false,
