run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-4fb13479b4848b85,failure_drop_1pct,count,failure_drop_1pct-u4-r18,2026-02-16T12:00:18.981492528+06:00,4,10,80,5224,27.2941,0.0073,12.6446,0.0110,0.0000,0.9584,0.0741,0.0004,0.0036,0.8819,0.0015,39.9630,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,count,failure_drop_1pct-u0-r2,2026-02-16T12:00:18.982493577+06:00,0,10,80,5223,23.2064,0.0070,18.0586,0.0097,0.0000,1.4111,0.0488,0.0002,0.0037,1.3599,0.0006,41.2878,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,sum,failure_drop_1pct-u25-r5,2026-02-16T12:00:18.983442116+06:00,25,10,80,5221,25.0285,0.0078,17.1206,0.0096,0.0000,0.0668,0.0513,0.0002,0.0018,0.0143,0.0007,42.1757,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,sum,failure_drop_1pct-u19-r7,2026-02-16T12:00:18.984912531+06:00,19,10,80,5221,16.7646,0.0066,26.7972,0.0094,0.0000,0.1207,0.0840,0.0004,0.0039,0.0344,0.0015,43.5841,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,count,failure_drop_1pct-u1-r4,2026-02-16T12:00:18.986882079+06:00,1,10,80,5223,22.8567,0.0077,22.7473,0.0097,0.0000,1.6385,0.0805,0.0003,0.0027,1.5557,0.0010,45.6267,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,count,failure_drop_1pct-u22-r20,2026-02-16T12:00:18.987442036+06:00,22,10,80,5223,22.8879,0.0070,22.9884,0.0084,0.0000,1.5970,0.0773,0.0003,0.0031,1.5172,0.0009,45.8995,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,sum,failure_drop_1pct-u47-r15,2026-02-16T12:00:18.98754307+06:00,47,10,80,5222,19.7173,0.0062,26.2967,0.0094,0.0000,0.1090,0.0846,0.0003,0.0036,0.0228,0.0009,46.0381,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,count,failure_drop_1pct-u34-r16,2026-02-16T12:00:18.98759765+06:00,34,10,80,5224,16.9088,0.0083,29.1506,0.0085,0.0000,2.9268,0.0814,0.0004,0.0039,2.8423,0.0013,46.0834,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,count,failure_drop_1pct-u7-r10,2026-02-16T12:00:18.987896671+06:00,7,10,80,5224,28.1449,0.0098,18.3105,0.0091,0.0000,1.6338,0.0773,0.0002,0.0023,1.5552,0.0006,46.4831,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,sum,failure_drop_1pct-u49-r3,2026-02-16T12:00:18.989081305+06:00,49,10,80,5220,29.8148,0.0063,18.0203,0.0080,0.0000,0.0992,0.0764,0.0002,0.0021,0.0217,0.0006,47.8543,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,sum,failure_drop_1pct-u35-r19,2026-02-16T12:00:18.990833292+06:00,35,10,80,5222,20.0764,0.0063,29.1948,0.0095,0.0000,0.1000,0.0766,0.0002,0.0017,0.0222,0.0007,49.2956,200,1,false,true,,,false,,,false,
run-4fb13479b4848b85,failure_drop_1pct,count,failure_drop_1pct-u18-r44,2026-02-16T12:00:18.99370174+06:00,18,10,80,5223,18.7528,0.0088,2.5593,0.0094,0.0000,1.4666,0.0825,0.0003,0.0044,1.3812,0.0008,21.3361,200,1,false,true,,,false,,,false,
