run_id,experiment_name,operation,request_id,timestamp,user_id,batch_size,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,marshal_time_ms,http_roundtrip_ms,response_unmarshal_ms,proxy_delay_ms,gateway_processing_ms,gateway_parse_ms,gateway_enqueue_ms,gateway_encode_ms,phe_compute_ms,queue_wait_ms,end_to_end_latency_ms,http_status_code,attempt_count,retried,success,failure_stage,failure_code,correctness_sampled,expected_plain_result,decrypted_result,correctness_ok,error_message
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u3-r5,2026-02-16T11:58:56.621012815+06:00,3,10,80,5216,23.8416,0.0116,101.9469,0.0107,100.0000,0.1436,0.1028,0.0008,0.0061,0.0367,0.0028,125.8381,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u4-r10,2026-02-16T11:58:56.622063959+06:00,4,10,80,5218,24.9640,0.0112,101.8593,0.0089,100.0000,0.9624,0.0724,0.0004,0.0056,0.8863,0.0020,126.8557,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u1-r7,2026-02-16T11:58:56.627313729+06:00,1,10,80,5216,30.7076,0.0160,101.3787,0.0084,100.0000,0.1338,0.0940,0.0017,0.0043,0.0348,0.0031,132.1202,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u9-r1,2026-02-16T11:58:56.627336718+06:00,9,10,80,5216,30.7288,0.0108,101.4317,0.0083,100.0000,0.1325,0.0921,0.0017,0.0041,0.0353,0.0029,132.1876,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u8-r9,2026-02-16T11:58:56.62955943+06:00,8,10,80,5216,33.6492,0.0148,100.6839,0.0055,100.0000,0.0845,0.0656,0.0009,0.0029,0.0153,0.0019,134.3609,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u2-r2,2026-02-16T11:58:56.631320699+06:00,2,10,80,5219,32.4150,0.0089,103.7186,0.0090,100.0000,2.8606,0.0931,0.0015,0.0038,2.7622,0.0028,136.1637,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u6-r8,2026-02-16T11:58:56.634386908+06:00,6,10,80,5219,36.9592,0.0045,102.2098,0.0084,100.0000,0.9353,0.0668,0.0003,0.0014,0.8665,0.0009,139.1920,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u5-r3,2026-02-16T11:58:56.639676042+06:00,5,10,80,5217,43.4044,0.0044,101.0937,0.0081,100.0000,0.0829,0.0631,0.0015,0.0028,0.0156,0.0026,144.5188,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u7-r6,2026-02-16T11:58:56.640542966+06:00,7,10,80,5217,44.0981,0.0049,101.2485,0.0056,100.0000,0.9469,0.0633,0.0010,0.0028,0.8802,0.0018,145.3628,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u0-r4,2026-02-16T11:58:56.640555338+06:00,0,10,80,5215,44.1081,0.0108,101.2582,0.0067,100.0000,0.9500,0.0591,0.0009,0.0027,0.8882,0.0014,145.3899,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u3-r11,2026-02-16T11:58:56.734809049+06:00,3,10,80,5216,12.5938,0.0050,101.1248,0.0399,100.0000,0.4158,0.3162,0.0059,0.0151,0.0815,0.0111,113.7892,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u4-r12,2026-02-16T11:58:56.736848329+06:00,4,10,80,5218,8.6966,0.0046,106.0172,0.0335,100.0000,4.4462,0.3396,0.0042,0.0149,4.0890,0.0097,114.7790,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u8-r15,2026-02-16T11:58:56.740009405+06:00,8,10,80,5217,8.8792,0.0046,101.4994,0.0337,100.0000,0.4959,0.3514,0.0056,0.0133,0.1261,0.0104,110.4463,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u9-r14,2026-02-16T11:58:56.741621935+06:00,9,10,80,5218,9.2241,0.0066,104.9842,0.0317,100.0000,4.3975,0.2993,0.0044,0.0129,4.0817,0.0092,114.2805,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u2-r16,2026-02-16T11:58:56.747460341+06:00,2,10,80,5219,14.0692,0.0034,101.1916,0.0054,100.0000,0.9327,0.0607,0.0007,0.0015,0.8696,0.0012,115.2730,200,1,false,true,,,true,10,10,true,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u7-r19,2026-02-16T11:58:56.74959729+06:00,7,10,80,5218,8.6305,0.0038,100.3996,0.0085,100.0000,0.1332,0.0937,0.0005,0.0040,0.0350,0.0019,109.0517,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u5-r18,2026-02-16T11:58:56.750705683+06:00,5,10,80,5217,9.8308,0.0042,101.1806,0.0073,100.0000,0.9574,0.0580,0.0008,0.0031,0.8970,0.0013,111.0260,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u0-r20,2026-02-16T11:58:56.751694766+06:00,0,10,80,5215,8.6037,0.0036,102.5132,0.0082,100.0000,2.2689,0.0901,0.0013,0.0035,2.1737,0.0024,111.1374,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u6-r17,2026-02-16T11:58:56.752892969+06:00,6,10,80,5217,18.1388,0.0038,100.3458,0.0079,100.0000,0.1320,0.0920,0.0016,0.0032,0.0352,0.0028,118.5030,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u1-r13,2026-02-16T11:58:56.752903975+06:00,1,10,80,5218,25.1626,0.0046,100.4100,0.0066,100.0000,0.1276,0.0881,0.0015,0.0038,0.0351,0.0026,125.5873,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u3-r21,2026-02-16T11:58:56.850906258+06:00,3,10,80,5215,14.0678,0.0046,101.9474,0.0312,100.0000,0.4831,0.3452,0.0021,0.0151,0.1266,0.0068,116.0767,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u4-r22,2026-02-16T11:58:56.85485204+06:00,4,10,80,5220,12.3913,0.0065,105.5286,0.0325,100.0000,4.4537,0.3009,0.0045,0.0130,4.1384,0.0079,117.9896,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u9-r24,2026-02-16T11:58:56.855287714+06:00,9,10,80,5218,8.6682,0.0043,104.9134,0.0440,100.0000,4.3983,0.3191,0.0055,0.0128,4.0605,0.0103,113.6527,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u8-r23,2026-02-16T11:58:56.857184059+06:00,8,10,80,5216,15.3561,0.0037,101.7478,0.0248,100.0000,0.3928,0.3035,0.0015,0.0119,0.0734,0.0071,117.1594,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u2-r25,2026-02-16T11:58:56.857312407+06:00,2,10,80,5217,8.5696,0.0036,101.1940,0.0340,100.0000,0.4546,0.3155,0.0046,0.0122,0.1238,0.0083,109.8494,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u5-r27,2026-02-16T11:58:56.861337064+06:00,5,10,80,5217,8.5890,0.0043,101.9823,0.0284,100.0000,0.4650,0.3301,0.0048,0.0112,0.1195,0.0083,110.6288,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u1-r30,2026-02-16T11:58:56.867287665+06:00,1,10,80,5219,8.5903,0.0039,105.7060,0.0546,100.0000,4.3710,0.2978,0.0047,0.0123,4.0564,0.0098,114.3811,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u6-r29,2026-02-16T11:58:56.868006049+06:00,6,10,80,5215,13.6662,0.0033,101.3894,0.0287,100.0000,0.4575,0.3230,0.0035,0.0146,0.1240,0.0067,115.1105,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u0-r28,2026-02-16T11:58:56.873643793+06:00,0,10,80,5218,16.8565,0.0100,105.0137,0.0319,100.0000,4.2866,0.2655,0.0084,0.0066,4.0047,0.0107,121.9443,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u7-r26,2026-02-16T11:58:56.875504233+06:00,7,10,80,5219,17.3682,0.0031,108.5169,0.0077,100.0000,8.1800,0.3465,0.0056,0.0046,7.8201,0.0095,125.9043,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u3-r31,2026-02-16T11:58:56.981402673+06:00,3,10,80,5215,29.6044,0.0038,100.8534,0.0137,100.0000,0.1579,0.1099,0.0015,0.0068,0.0417,0.0034,130.4864,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u2-r35,2026-02-16T11:58:56.982701389+06:00,2,10,80,5214,24.8602,0.0034,100.4915,0.0085,100.0000,0.1425,0.1018,0.0005,0.0058,0.0359,0.0020,125.3739,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u4-r32,2026-02-16T11:58:56.98562445+06:00,4,10,80,5218,26.5587,0.0048,104.1705,0.0129,100.0000,3.1015,0.0951,0.0015,0.0046,2.9999,0.0033,130.7592,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u7-r40,2026-02-16T11:58:56.989509619+06:00,7,10,80,5219,11.2839,0.0063,102.6929,0.0115,100.0000,1.7537,0.1201,0.0018,0.0052,1.6286,0.0027,114.0025,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u1-r37,2026-02-16T11:58:56.989703547+06:00,1,10,80,5218,21.9914,0.0066,100.3925,0.0085,100.0000,0.1089,0.0824,0.0014,0.0023,0.0237,0.0020,122.4050,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u6-r38,2026-02-16T11:58:56.990442977+06:00,6,10,80,5219,20.6387,0.0041,101.7618,0.0088,100.0000,1.5912,0.1220,0.0017,0.0047,1.4629,0.0034,122.4252,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u0-r39,2026-02-16T11:58:56.994193265+06:00,0,10,80,5217,19.6218,0.0041,100.8544,0.0268,100.0000,0.4023,0.2818,0.0046,0.0099,0.1058,0.0082,120.5368,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u8-r34,2026-02-16T11:58:56.994784942+06:00,8,10,80,5219,29.6780,0.0033,102.6546,0.0113,100.0000,1.7845,0.1375,0.0019,0.0044,1.6408,0.0041,132.3599,200,1,false,true,,,true,10,10,true,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u9-r33,2026-02-16T11:58:56.99996712+06:00,9,10,80,5216,43.7415,0.0093,100.8639,0.0255,100.0000,0.4001,0.2810,0.0043,0.0094,0.1050,0.0077,144.6633,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u5-r36,2026-02-16T11:58:57.009862267+06:00,5,10,80,5219,39.6071,0.0089,108.8603,0.0213,100.0000,7.5337,0.2904,0.0045,0.0088,7.2289,0.0081,148.5135,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u1-r45,2026-02-16T11:58:57.118548326+06:00,1,10,80,5218,27.3181,0.0092,101.4895,0.0118,100.0000,0.2017,0.1796,0.0022,0.0045,0.0169,0.0041,128.8411,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u2-r42,2026-02-16T11:58:57.119146196+06:00,2,10,80,5218,35.2311,0.0122,101.1864,0.0060,100.0000,0.9360,0.0595,0.0004,0.0029,0.8740,0.0013,136.4413,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,count,latency_100ms-u6-r46,2026-02-16T11:58:57.121703637+06:00,6,10,80,5220,27.9909,0.0188,103.2287,0.0096,100.0000,2.8558,0.0921,0.0005,0.0042,2.7592,0.0017,131.2563,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u3-r41,2026-02-16T11:58:57.127010207+06:00,3,10,80,5218,44.2695,0.0071,101.3091,0.0081,100.0000,0.1318,0.0926,0.0005,0.0039,0.0351,0.0018,145.6017,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u0-r47,2026-02-16T11:58:57.127028032+06:00,0,10,80,5218,31.4819,0.0089,101.3240,0.0067,100.0000,0.1291,0.0917,0.0004,0.0039,0.0347,0.0017,132.8253,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u9-r49,2026-02-16T11:58:57.129029529+06:00,9,10,80,5216,28.4807,0.0047,100.5494,0.0085,100.0000,0.0705,0.0533,0.0003,0.0026,0.0157,0.0009,129.0521,200,1,false,true,,,false,,,false,
run-9e179f349e988059,latency_100ms,sum,latency_100ms-u4-r43,2026-02-16T11:58:57.129166584+06:00,4,10,80,5217,42.0389,0.0094,101.4714,0.0089,100.0000,0.1297,0.0918,0.0013,0.0032,0.0338,0.0023,143.5359,200,1,false,true,,,false,,,false,
